GeoName,FIPS,GDP Impact,State,Unemploy Rate,GO_yieldImpact,REV_yieldImpact,infectedPCT
"Tift, GA",13277,-0.030234367,GA,0.029935606,0.2870398,0.250056658,0.001279402
"Denver, CO",08031,-0.06264478,CO,0.026604143,0.294867385,0.67938285,0.001274733
"Jefferson, AR",05069,-0.019515468,AR,0.028738852,0.264992052,0.402900612,0.001271998
"Madison, NY",36053,-0.034780543,NY,0.049713377,0.459527895,0.313010398,0.00126866
"Lackawanna, PA",42069,-0.037242637,PA,0.123671112,1.088374202,0.45164638,0.001268636
"Hancock, IN",18059,-0.044952575,IN,0.062111827,0.575798667,0.295226373,0.001266503
"Thomas, GA",13275,-0.028896722,GA,0.029935606,0.285552727,0.322319146,0.001259814
"Greene, GA",13133,-0.029522427,GA,0.029935606,0.28624833,0.294086952,0.001255184
"Wilcox, AL",01131,-0.041898002,AL,0.042297859,0.404662374,0.234530971,0.001253254
"Shelby, IN",18145,-0.060577154,IN,0.062111827,0.593168668,0.254027372,0.001251984
"Bossier, LA",22015,-0.050317148,LA,0.082517871,0.754515393,0.887809133,0.001251584
"Routt, CO",08107,-0.063884556,CO,0.026604143,0.296245656,0.679753679,0.001248147
"Pointe Coupee, LA",22077,-0.009476597,LA,0.082517871,0.709112544,0.36430359,0.001242522
"Trousdale, TN",47169,-0.022586054,TN,0.040805298,0.370557406,0.36822476,0.001240695
"St. Francis, AR",05123,-0.001439572,AR,0.028738852,0.244896897,0.282211199,0.001240298
"Montgomery, MS",28097,-0.018106383,MS,0.029841954,0.272764163,0.922545926,0.001227621
"San Miguel, CO",08113,-0.099003527,CO,0.026604143,0.335287766,0.398281385,0.001222643
"Hinsdale, CO",08053,0,CO,0.026604143,0.225224556,0.347455235,0.001219512
"Lawrence, IN",18093,-0.048018984,IN,0.062111827,0.579207626,0.296143567,0.001212255
"Broward, FL",12011,-0.049158326,FL,0.029926153,0.307997731,0.475317601,0.001211095
"Clark, AR",05019,-0.02229685,AR,0.028738852,0.268084141,0.619925154,0.001209677
"Scott, MS",28123,-0.028602911,MS,0.029841954,0.284433259,0.322231264,0.001208932
"Williamson, TN",47187,-0.054358311,TN,0.040805298,0.405878942,0.237563462,0.001203798
"Ware, GA",13299,-0.020453144,GA,0.029935606,0.276165917,0.619373683,0.001203336
"Bucks, PA",42017,-0.055574495,PA,0.123671112,1.108753913,0.628565516,0.001203304
"Matagorda, TX",48321,-0.005567783,TX,0.032499617,0.281324039,0.353452811,0.001200775
"Avoyelles, LA",22009,-0.021811253,LA,0.082517871,0.722825105,0.410329501,0.001195695
"Lebanon, PA",42075,-0.033512348,PA,0.123671112,1.084227202,0.371492924,0.001191878
"Grundy, TN",47061,-0.025587023,TN,0.040805298,0.373893614,0.229582094,0.001191629
"Sussex, DE",10005,-0.018036006,DE,0.062834922,0.551996802,0.599425258,0.001191162
